               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  63,            0.022535,           0.0090109,                   0,             0.99179,              0.9891,             0.99459,             0.78001,             0.02116,           0.0034563,                   0,             0.00907,             0.00907,             0.00907
                  64,            0.022695,           0.0090458,                   0,             0.99517,             0.98978,             0.99473,             0.78224,            0.020951,           0.0034123,                   0,            0.009055,            0.009055,            0.009055
                  65,            0.022514,           0.0090837,                   0,              0.9952,             0.98842,             0.99474,             0.78046,            0.021166,           0.0034113,                   0,             0.00904,             0.00904,             0.00904
                  66,            0.022509,           0.0089948,                   0,             0.99656,              0.9891,             0.99483,             0.77974,             0.02131,           0.0034272,                   0,            0.009025,            0.009025,            0.009025
                  67,            0.022442,           0.0089847,                   0,              0.9945,              0.9891,             0.99473,             0.78281,            0.021132,           0.0034118,                   0,             0.00901,             0.00901,             0.00901
                  68,            0.022366,           0.0089085,                   0,             0.99519,             0.98978,              0.9947,             0.78199,            0.021136,           0.0034178,                   0,            0.008995,            0.008995,            0.008995
                  69,            0.022572,           0.0090586,                   0,              0.9952,             0.98773,             0.99475,             0.78228,            0.021041,           0.0034375,                   0,             0.00898,             0.00898,             0.00898
                  70,            0.022399,           0.0089402,                   0,             0.99114,             0.99114,             0.99476,             0.78011,            0.021249,            0.003441,                   0,            0.008965,            0.008965,            0.008965
                  71,            0.022406,           0.0088671,                   0,             0.99521,             0.99114,             0.99487,             0.78184,            0.021074,           0.0034152,                   0,             0.00895,             0.00895,             0.00895
                  72,              0.0223,           0.0089829,                   0,             0.99115,             0.99251,             0.99477,             0.78229,            0.020954,           0.0034221,                   0,            0.008935,            0.008935,            0.008935
                  73,              0.0225,           0.0089595,                   0,             0.99453,             0.99112,             0.99477,             0.77953,            0.020805,            0.003414,                   0,             0.00892,             0.00892,             0.00892
                  74,            0.022162,           0.0088983,                   0,             0.99183,             0.99319,             0.99483,             0.78469,            0.020783,           0.0034061,                   0,            0.008905,            0.008905,            0.008905
                  75,            0.022095,           0.0088237,                   0,             0.99522,              0.9925,             0.99485,             0.78476,            0.020708,           0.0033983,                   0,             0.00889,             0.00889,             0.00889
                  76,            0.022328,            0.008861,                   0,             0.99318,              0.9925,             0.99478,             0.78425,            0.020685,           0.0034039,                   0,            0.008875,            0.008875,            0.008875
                  77,            0.022173,           0.0088384,                   0,             0.99386,              0.9925,             0.99477,             0.78317,            0.020723,           0.0034118,                   0,             0.00886,             0.00886,             0.00886
                  78,            0.021984,           0.0087338,                   0,             0.99319,             0.99386,             0.99478,             0.78344,            0.020768,           0.0034145,                   0,            0.008845,            0.008845,            0.008845
                  79,            0.022181,           0.0088537,                   0,             0.99318,             0.99182,             0.99482,             0.78285,            0.020919,           0.0034122,                   0,             0.00883,             0.00883,             0.00883
                  80,            0.021965,           0.0087384,                   0,             0.99521,             0.99113,             0.99483,             0.78418,            0.020883,             0.00342,                   0,            0.008815,            0.008815,            0.008815
                  81,            0.021951,           0.0088577,                   0,             0.99657,             0.99046,             0.99484,             0.78506,            0.020909,           0.0034276,                   0,              0.0088,              0.0088,              0.0088
                  82,            0.021874,           0.0087836,                   0,             0.99658,             0.99114,             0.99483,             0.78475,            0.020922,           0.0034191,                   0,            0.008785,            0.008785,            0.008785
